EffectiveDate,2017-01-31
Id,dd442953-a1fc-439b-8838-ab486b1ec701
InflationAdjusted,false
InflationModel,1100701
Name,BaselineGenerated
OverrideSet,1
PercentileInterpolation,PERCENTILE.EXC
RequestID,dd442953-a1fc-439b-8838-ab486b1ec701
Rounding,
Scenarios,1
Threads,
TimeSteps,69
TransactionLog,
UseDefaultRounding,true
output_file,c:\Foresight\results\results.csv
threads,
version,1.5.1.7
build_notes, FSCE-308 - Fix spelling error in input parsing.  Fri Feb  3 15:16:55 AUSEDT 2017   4446e8aae0193b05001f8989587ec87749ebea1d 

Operator Key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,all
SCENARIOALL::QQuery_1000101_CAPITALRETURN::OOper_1000101_Australian Equities_CAPITALRETURN::CAPITALRETURN::::s:1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
SCENARIOALL::QQuery_1000101_INCOMERETURN::OOper_1000101_Australian Equities_INCOMERETURN::INCOMERETURN::::s:1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
SCENARIOALL::QQuery_1000101_LOGRETURN::OOper_1000101_Australian Equities_LOGRETURN::LOGRETURN::::s:1,0.00000000000000000000,0.05882293012050365100,0.05822750057075017100,0.06042593781119143900,0.06241206499318525300,0.06341716895420188000,0.06447542750361680300,0.06581933362636319100,0.06724399801694505600,0.06911669754320237700,0.07063048948978820100,0.07063048948941877400,0.07063048948734723700,0.07063048948931652200,0.07063048948783534600,0.07063048948743953800,0.07063048948680832100,0.07063048948910100000,0.07063048948930593400,0.07063048948921990500,0.07063048948981415200,0.07063048948928432600,0.07063048948798536500,0.07063048948780140100,0.07063048948908760800,0.07063048948952881100,0.07063048948914293900,0.07063048948724672000,0.07063048948828389000,0.07063048948796071800,0.07063048948701822200,0.07063048948770023200,0.07063048948860577200,0.07063048948772185400,0.07063048948727979100,0.07063048948663301600,0.07063048948795444500,0.07063048948763149500,0.07063048948727329600,0.07063048948798536500,0.07063048948708826300,0.07063048948873287800,0.07063048948888030200,0.07063048948918704300,0.07063048948924022200,0.07063048948958738900,0.07063048948868617900,0.07063048948954026000,0.07063048949034052300,0.07063048949106598400,0.07063048949213644700,0.07063048949174669000,0.07063048949236558300,0.07063048949256900400,0.07063048949193367900,0.07063048949050783300,0.07063048948989952800,0.07063048948841878200,0.07063048948863257000,0.07063048948795142000,0.07063048948739997200,0.07063048948848708900,0.07063048948938333000,0.07063048948806642500,0.07063048948710361200,0.07063048948604958000,0.07063048948573851000,0.07063048948612371500,0.07063048948697391000,0.07063048948673980600,
SCENARIOALL::QQuery_1000101_ROLLUP::OOper_1000101_Australian Equities_ROLLUP::ROLLUP::::s:1,1.00000000000000000000,1.06058742602476360000,1.12417612123991310000,1.19419983683848390000,1.27110732940889950000,1.35432828724889660000,1.44452569648137570000,1.54280218495791540000,1.65011397551535180000,1.76819819493464610000,1.89760307185345600000,2.03647839287576770000,2.18551724865754910000,2.34546345342955580000,2.51711525715235320000,2.70132932940067330000,2.89902503476582310000,3.11118902117827640000,3.33888014398748200000,3.58323475045269600000,3.84547235095587240000,4.12690170525110480000,4.42892735415165980000,4.75305662923602320000,5.10090717554360840000,5.47421502480729400000,5.87484325954642460000,6.30479131122321590000,6.76620493891882550000,7.26138693820659760000,7.79280863383559910000,8.36312221348481270000,8.97517396411687510000,9.63201847704727320000,10.33693389265328500000,11.09343826069683600000,11.90530709802835800000,12.77659223114614700000,13.71164201786613800000,14.71512304884604900000,15.79204343727346100000,16.94777781315929100000,18.18809414659558900000,19.51918253428290100000,20.94768609266240800000,22.48073411200339000000,24.12597763679320900000,25.89162765021787400000,27.78649605293958700000,29.82003964104166000000,32.00240730245561600000,34.34449066735345500000,36.85797846558092100000,39.55541486194904600000,42.45026206092676100000,45.55696749302141100000,48.89103591822765800000,52.46910680611144100000,56.30903737929055100000,60.42999173393335600000,64.85253648296783500000,69.59874339876051900000,74.69229956738891500000,80.15862560467685700000,86.02500252422190400000,92.32070788964242100000,99.07716193140704800000,106.32808435698030000000,114.10966263710550000000,122.46073260790547000000,
SCENARIOALL::QQuery_1000101_TOTALRETURN::OOper_1000101_Australian Equities_TOTALRETURN::TOTALRETURN::::s:1,0.00000000000000000000,0.05999999999999999800,0.05899999999999999700,0.06200000000000000000,0.06400000000000000100,0.06500000000000000200,0.06600000000000000300,0.06800000000000000500,0.06900000000000000600,0.07099999999999999400,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,0.07299999999999999500,
SCENARIOALL::QQuery_1000201_CAPITALRETURN::OOper_1000201_Australian Fixed Interest Government Bonds_CAPITALRETURN::CAPITALRETURN::::s:1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
SCENARIOALL::QQuery_1000201_INCOMERETURN::OOper_1000201_Australian Fixed Interest Government Bonds_INCOMERETURN::INCOMERETURN::::s:1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
SCENARIOALL::QQuery_1000201_LOGRETURN::OOper_1000201_Australian Fixed Interest Government Bonds_LOGRETURN::LOGRETURN::::s:1,0.00000000000000000000,0.01915328012050365000,0.01855785057075017400,0.02075628781119143900,0.02274241499318525200,0.02374751895420187200,0.02480577750361680200,0.02614968362636319000,0.02757434801694506200,0.02944704754320237600,0.03096083948978820700,0.03096083948941878000,0.03096083948734723600,0.03096083948931652900,0.03096083948783534500,0.03096083948743953700,0.03096083948680832700,0.03096083948910100700,0.03096083948930594000,0.03096083948921990500,0.03096083948981415100,0.03096083948928431800,0.03096083948798536400,0.03096083948780140700,0.03096083948908760800,0.03096083948952881000,0.03096083948914294500,0.03096083948724671900,0.03096083948828388900,0.03096083948796071700,0.03096083948701822800,0.03096083948770023800,0.03096083948860577100,0.03096083948772185300,0.03096083948727979000,0.03096083948663301600,0.03096083948795445200,0.03096083948763149500,0.03096083948727330200,0.03096083948798536400,0.03096083948708826300,0.03096083948873287800,0.03096083948888030100,0.03096083948918704200,0.03096083948924022200,0.03096083948958738800,0.03096083948868618600,0.03096083948954026600,0.03096083949034052200,0.03096083949106598300,0.03096083949213644700,0.03096083949174669600,0.03096083949236559000,0.03096083949256900300,0.03096083949193368500,0.03096083949050783300,0.03096083948989953500,0.03096083948841878200,0.03096083948863257600,0.03096083948795142600,0.03096083948739997800,0.03096083948848708800,0.03096083948938332900,0.03096083948806642400,0.03096083948710361100,0.03096083948604957300,0.03096083948573850900,0.03096083948612372200,0.03096083948697391000,0.03096083948673979800,
SCENARIOALL::QQuery_1000201_ROLLUP::OOper_1000201_Australian Fixed Interest Government Bonds_ROLLUP::ROLLUP::::s:1,1.00000000000000000000,1.01933788087666710000,1.03843121863982210000,1.06021044188793590000,1.08459845777669380000,1.11066324227930150000,1.13855866093828810000,1.16872430175967050000,1.20139954126091530000,1.23730324532110660000,1.27621038343214250000,1.31634096082624350000,1.35773344868534430000,1.40042752792979600000,1.44446412724060620000,1.48988546231200390000,1.53673507631353170000,1.58505788163951240000,1.63490020295174190000,1.68630982159887520000,1.73933602142103160000,1.79402963599103680000,1.85044309734953540000,1.90863048627197810000,1.96864758411070470000,2.03055192626445310000,2.09440285733885250000,2.16026158803561910000,2.22819125384337990000,2.29825697554395750000,2.37052592165086780000,2.44506737280434730000,2.52195278817890100000,2.60125587398554450000,2.68305265414084640000,2.76742154314019920000,2.85444342123766730000,2.94420171196578460000,3.03678246212378070000,3.13227442426550380000,3.23076914177038170000,3.33236103662293240000,3.43714749990438450000,3.54522898517474690000,3.65670910476593520000,3.77169472911314290000,3.89029608919838490000,4.01262688224075870000,4.13880438067422320000,4.26894954457736200000,4.40318713763370620000,4.54164584672663900000,4.68445840532385380000,4.83176172070525210000,4.98369700521308360000,5.14040991162725550000,5.30205067280366920000,5.46877424567822330000,5.64074045983891990000,5.81811417071873120000,6.00106541765371300000,6.18976958689514770000,6.38440757972375380000,6.58516598586772520000,6.79223726240607920000,7.00581991824916450000,7.22611870444803190000,7.45334481047343190000,7.68771606667120900000,7.92945715307470690000,
SCENARIOALL::QQuery_1000201_TOTALRETURN::OOper_1000201_Australian Fixed Interest Government Bonds_TOTALRETURN::TOTALRETURN::::s:1,0.00000000000000000000,0.01900000000000000000,0.01799999999999999900,0.02000000000000000000,0.02300000000000000000,0.02400000000000000000,0.02500000000000000100,0.02599999999999999900,0.02700000000000000000,0.02900000000000000100,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,0.03100000000000000000,
